kw,page,pages_num,clicks_cur,imp_cur,pos_cur,cpc,vol,clicks_prev,imp_prev,pos_prev,opportunity_score,value,potential_traffic_cur,potential_traffic_prev,potential_traffic_value_cur,potential_traffic_value_prev,traffic_value,avg_pos_cur,position_delta,impressions_delta,clicks_delta,is_watchlisted,last_seen_at
pre school near me,https://chromaela.com/service-areas-marietta-west-ga,2,1,5,9,4.4,90500,0,4,33,71.55,4.38,4,4,18,18,396390,6.33,24,1,1,FALSE,2025-11-19
chroma early learning academy at jonesboro,https://chromaela.com/service-areas-rivergreen-ga,38,1,436,1,4.2,90,5,334,1,68.78,4.25,435,329,1849,1398,382,6.3,0,102,-4,FALSE,2025-11-23
private schools near me,https://chromaela.com/service-areas-cherokee-ga,1,1,1,1,3.4,201000,0,0,0,63.48,3.4,0,0,0,0,683400,1,-1,1,1,FALSE,2025-11-03
chrome academy,https://chromaela.com/,6,2,50,2,1.6,480,2,28,2,54.06,3.16,48,26,76,41,758,5.99,0,22,0,FALSE,2025-11-23
best preschools near me,http://www.chromaela.com/,2,1,6,2,2.8,22200,0,2,13,64.09,2.85,5,2,14,6,63270,11.88,11,4,1,FALSE,2025-11-17
cherokee academy,https://chromaela.com/service-areas-cherokee-ga,6,1,106,1,2.1,210,3,59,1,59.79,2.07,105,56,217,116,435,6.7,0,47,-2,FALSE,2025-11-23
chroma,https://www.chromaela.com/service-areas-lawrenceville-ga,24,9,313,4,0.2,301000,13,260,1,78.66,1.44,304,247,49,40,48160,4.73,-3,53,-4,FALSE,2025-11-23
solve,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,1,1,1,0.9,550000,0,0,0,61.95,0.9,0,0,0,0,495000,1,-1,1,1,FALSE,2025-11-19
apple a day,https://chromaela.com/service-areas-pleasanthill-ga,1,1,4,2,0.4,5400,0,4,4,44.95,0.36,3,4,1,1,1944,2.17,2,0,1,FALSE,2025-10-30
best daycare in lawrenceville ga,,0,0,0,0,9.6,40,0,1,70,0,0,0,1,0,10,382,0,70,-1,0,FALSE,2025-10-16
after school daycare near me,,0,0,0,0,0,0,0,2,5,0,0,0,2,0,0,0,0,5,-2,0,FALSE,2025-10-21
how parental involvement tools align with school curriculums,https://chromaela.com/post/b637f5ff-92a3-4b54-bb49-cd4bd23120a4-why-parent-involvement-shapes-curriculum-success-in-schools,1,0,6,1,0,0,0,0,0,0,0,6,0,0,0,0,1.5,-1,6,0,FALSE,2025-11-23
day care near me for 2 year old,,0,0,0,0,0,0,1,5,7,0,0,0,4,0,0,0,0,7,-5,-1,FALSE,2025-10-26
new heights academy alpharetta ga,,0,0,0,0,0,10,0,1,96,0,0,0,1,0,0,0,0,96,-1,0,FALSE,2025-09-30
classes for 7 year olds near me,https://www.chromaela.com/service-areas-lawrenceville-ga,1,0,1,9,1.2,40,0,0,0,18.45,0,1,0,1,0,50,9,-9,1,0,FALSE,2025-11-04
daycares that close at 7pm,,0,0,0,0,3.6,140,0,1,8,0,0,0,1,0,4,505,0,8,-1,0,FALSE,2025-10-14
creative learning preschool mableton ga,https://chromaela.com/service-areas-southcobb-ga,1,0,2,11,0,0,0,0,0,4.58,0,2,0,0,0,0,11,-11,2,0,FALSE,2025-10-30
what part of the brain is problem solving,https://chromaela.com/post/5-ways-alpharetta-parents-will-love-chroma-early-learning-academy,1,0,2,1,0,50,0,0,0,4.58,0,2,0,0,0,0,1,-1,2,0,FALSE,2025-11-19
herring township childcare,https://chromaela.com/service-areas-midway-alpharetta-ga,2,0,39,2,0,0,0,3,3,24.23,0,39,3,0,0,0,7.18,1,36,0,FALSE,2025-11-20
daycares in statesboro georgia,https://chromaela.com/service-areas-jonesboro-ga,1,0,2,82,0,0,0,0,0,0,0,2,0,0,0,0,82,-82,2,0,FALSE,2025-11-20
daycare for toddlers who bite,https://chromaela.com/service-areas-pleasanthill-ga,1,0,2,14,0,0,0,0,0,4.58,0,2,0,0,0,0,14,-14,2,0,FALSE,2025-11-04
toys for a 2-year-old boy,https://chromaela.com/post/top-10-educational-toys-for-toddlers-that-promote-learning-and-fun,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-22
preschools in bethany crossing,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,8,4,0,0,0,0,0,0,0,8,0,0,0,0,3.58,-4,8,0,FALSE,2025-11-20
daycare in fayetteville ga,https://chromaela.com/service-areas-tyrone-ga,1,0,1,17,5.8,90,0,0,0,29.57,0,1,0,6,0,523,17,-17,1,0,FALSE,2025-11-06
montessori school near me,https://chromaela.com/service-areas-southcobb-ga,7,0,14,7,4.9,49500,2,14,1,76.03,0,14,12,69,59,242302,12.85,-6,0,-2,FALSE,2025-11-22
preschool peachtree city ga,https://chromaela.com/service-areas-tyrone-ga,1,0,1,17,8.2,140,0,0,0,33.27,0,1,0,8,0,1142,17,-17,1,0,FALSE,2025-11-17
early learning center at terry mill photos,https://chromaela.com/,1,0,3,15,0,40,0,0,0,7.27,0,3,0,0,0,0,16.5,-15,3,0,FALSE,2025-11-09
pre kinder cerca de mi ubicación,https://chromaela.com/service-areas-pleasanthill-ga,2,0,2,1,0,0,0,0,0,4.58,0,2,0,0,0,0,6,-1,2,0,FALSE,2025-10-30
lawrenceville to johns creek,,0,0,0,0,0,30,0,1,18,0,0,0,1,0,0,0,0,18,-1,0,FALSE,2025-10-18
after school program canton,https://chromaela.com/service-areas-cherokee-ga,1,0,4,15,0,0,0,0,0,9.17,0,4,0,0,0,0,13.75,-15,4,0,FALSE,2025-11-20
children play group near me,,0,0,0,0,0,0,0,1,17,0,0,0,1,0,0,0,0,17,-1,0,FALSE,2025-10-13
what is the reciprocal of a number,https://chromaela.com/post/b637f5ff-92a3-4b54-bb49-cd4bd23120a4-why-parent-involvement-shapes-curriculum-success-in-schools,1,0,1,1,0,1000,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-21
rivergreen subdivision canton ga,https://chromaela.com/service-areas-rivergreen-ga,1,0,1,73,0.9,90,0,0,0,20.97,0,1,0,1,0,85,73,-73,1,0,FALSE,2025-11-01
herring township preschools,https://chromaela.com/service-areas-midway-alpharetta-ga,6,0,7,3,0,0,0,1,10,12.87,0,7,1,0,0,0,9.67,7,6,0,FALSE,2025-11-20
daycare programs with learning,https://chromaela.com/service-areas-rivergreen-ga,1,0,1,7,0,0,0,1,6,0,0,1,1,0,0,0,7,-1,0,0,FALSE,2025-11-02
daycares near me within 5 mi,https://chromaela.com/service-areas-marietta-west-ga,1,0,1,10,5.6,1000,0,3,7,40.76,0,1,3,6,17,5580,10,-3,-2,0,FALSE,2025-10-31
daycare in johns creek ga,,0,0,0,0,8,210,0,1,20,0,0,0,1,0,8,1686,0,20,-1,0,FALSE,2025-10-10
sensorimotor stages piaget,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,2,39,0,0,0,0,0,4.58,0,2,0,0,0,0,37.5,-39,2,0,FALSE,2025-11-10
alpharetta georgia daycare,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,4,82,0,0,0,0,0,0,0,4,0,0,0,0,82,-82,4,0,FALSE,2025-11-19
a mark for success early learning center,,0,0,0,0,0,50,0,1,74,0,0,0,1,0,0,0,0,74,-1,0,FALSE,2025-10-14
ellenwood ga to jonesboro ga,https://chromaela.com/service-areas-ellenwood-ga,1,0,4,7,0,30,0,0,0,9.17,0,4,0,0,0,0,8.75,-7,4,0,FALSE,2025-11-22
ivy kids johns creek ga daycare capacity,,0,0,0,0,0,0,0,10,11,0,0,0,10,0,0,0,0,11,-10,0,FALSE,2025-10-21
childcare centers near me,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,11,7.6,2900,0,1,6,47.23,0,1,1,8,8,21924,11,-5,0,0,FALSE,2025-11-06
metro one learning academy,https://www.chromaela.com/home-690714,1,0,1,43,9,110,0,0,0,32.61,0,1,0,9,0,994,43,-43,1,0,FALSE,2025-11-15
discovery point woodstock,,0,0,0,0,4.9,40,0,10,10,0,0,0,10,0,49,196,0,10,-10,0,FALSE,2025-10-16
sensorimotor stages of development,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,3,86,2,320,0,0,0,37.8,0,3,0,6,0,640,77.25,-86,3,0,FALSE,2025-11-09
daycare near me that accepts caps,https://chromaela.com/,1,0,2,6,7.7,50,1,2,28,32.72,0,2,1,15,8,386,6,22,0,-1,FALSE,2025-11-19
sensorimotor stage in psychology,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,3,72,0,0,0,0,0,7.27,0,3,0,0,0,0,74,-72,3,0,FALSE,2025-11-22
eclc community learning center,https://chromaela.com/careers,5,0,5,11,0,90,0,0,0,10.65,0,5,0,0,0,0,11,-11,5,0,FALSE,2025-11-05
preschool in peachtree city,https://chromaela.com/service-areas-tyrone-ga,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,0,9,-9,1,0,FALSE,2025-11-23
celebree school east cobb,,0,0,0,0,0,0,0,1,36,0,0,0,1,0,0,0,0,36,-1,0,FALSE,2025-10-22
creme de la creme marietta,,0,0,0,0,0,70,0,2,62,0,0,0,2,0,0,0,0,62,-2,0,FALSE,2025-10-14
creme de la creme nesbit ferry,,0,0,0,0,1.5,50,0,4,64,0,0,0,4,0,6,76,0,64,-4,0,FALSE,2025-10-21
midway early learning center,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,1,29,0,480,0,0,0,0,0,1,0,0,0,0,29,-29,1,0,FALSE,2025-11-01
examples of the sensorimotor stage,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,2,73,0,1300,0,0,0,4.58,0,2,0,0,0,0,73,-73,2,0,FALSE,2025-11-12
childcare academy near me,https://chromaela.com/service-areas-southcobb-ga,2,0,2,22,4.2,50,0,0,0,29.87,0,2,0,8,0,211,31,-22,2,0,FALSE,2025-11-01
herring township day cares,https://chromaela.com/service-areas-midway-alpharetta-ga,6,0,46,3,0,0,0,2,9,25.33,0,46,2,0,0,0,8.06,6,44,0,FALSE,2025-11-20
daycare with positive reinforcement techniques,https://chromaela.com/service-areas-mcdonough-ga,1,0,1,13,0,0,0,0,0,0,0,1,0,0,0,0,13,-13,1,0,FALSE,2025-11-14
2 year old school near me,https://chromaela.com/service-areas-tyrone-ga,1,1,2,6,0,0,0,0,0,4.58,0,1,0,0,0,0,7,-6,2,1,FALSE,2025-11-03
ellenwood ga to duluth ga,,0,0,0,0,0,20,0,15,9,0,0,0,15,0,0,0,0,9,-15,0,FALSE,2025-10-16
kids after school programs,https://chromaela.com/service-areas-marietta-west-ga,1,0,1,10,0,0,0,0,0,0,0,1,0,0,0,0,10,-10,1,0,FALSE,2025-11-03
early childhood education jobs,https://chromaela.com/careers,1,0,7,99,1.7,5400,0,0,0,56.07,0,7,0,12,0,9342,88.14,-99,7,0,FALSE,2025-11-18
jw elc the academy of early learning reviews,,0,0,0,0,0,30,0,7,11,0,0,0,7,0,0,0,0,11,-7,0,FALSE,2025-09-30
stages of learning to walk,https://chromaela.com/post/from-wobbles-to-first-steps-how-babies-learn-to-walk,1,0,1,55,1,110,0,0,0,22.44,0,1,0,1,0,115,55,-55,1,0,FALSE,2025-11-23
jumpstart early learning academy,https://chromaela.com/,2,0,2,28,2.4,1000,0,1,85,41.32,0,2,1,5,2,2380,14.5,57,1,0,FALSE,2025-11-16
west marietta cooperative preschool,https://chromaela.com/service-areas-marietta-west-ga,2,0,3,65,12.3,70,0,1,60,39.19,0,3,1,37,12,860,73.33,-5,2,0,FALSE,2025-11-20
christian daycare near me,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,11,4.3,5400,0,0,0,47.53,0,1,0,4,0,23382,11,-11,1,0,FALSE,2025-10-27
best daycare for working parents,https://chromaela.com/service-areas-marietta-west-ga,1,0,1,11,0,0,0,0,0,0,0,1,0,0,0,0,11,-11,1,0,FALSE,2025-10-28
sensorimotor stage substages,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,51,0,390,0,0,0,0,0,1,0,0,0,0,51,-51,1,0,FALSE,2025-11-14
bethany crossing child care,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,2,2,0,0,0,0,0,4.58,0,2,0,0,0,0,2,-2,2,0,FALSE,2025-11-19
sensorimotor stage psychology definition,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,85,0,390,0,0,0,0,0,1,0,0,0,0,85,-85,1,0,FALSE,2025-10-30
example of rotation in math,https://chromaela.com/post/art-meets-math-finger-painting-for-learning,1,0,2,1,0,480,0,0,0,4.58,0,2,0,0,0,0,1,-1,2,0,FALSE,2025-11-18
daycares near me with cameras,https://chromaela.com/careers,13,0,39,10,0,0,0,0,0,24.23,0,39,0,0,0,0,11,-10,39,0,FALSE,2025-11-16
things to do in ellenwood ga,https://chromaela.com/post/the-best-educational-attractions-for-young-learners-in-ellenwood,1,0,1,61,0,110,0,0,0,0,0,1,0,0,0,0,61,-61,1,0,FALSE,2025-11-02
early childhood education center,,0,0,0,0,4.9,1600,0,1,5,0,0,0,1,0,5,7872,0,5,-1,0,FALSE,2025-10-08
childcare career programs in macon ga,https://chromaela.com/careers,1,0,42,95,0,0,0,3,81,24.72,0,42,3,0,0,0,86.4,-14,39,0,FALSE,2025-11-09
little shines mind abilities development,,0,0,0,0,0.7,140,0,1,25,0,0,0,1,0,1,99,0,25,-1,0,FALSE,2025-09-28
personalized attention daycare,https://chromaela.com/service-areas-roswell-ga,1,0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,12,-12,1,0,FALSE,2025-11-03
daycare with drop-off and pick-up services,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-07
praise el learning academy,https://chromaela.com/service-areas-marietta-east-ga,2,0,2,49,48.1,50,0,5,23,44.05,0,2,5,96,241,2406,73,-26,-3,0,FALSE,2025-11-23
daycare in locust grove ga,https://chromaela.com/service-areas-mcdonough-ga,1,0,2,10,0,0,0,3,10,4.58,0,2,3,0,0,0,10.5,0,-1,0,FALSE,2025-11-19
academy of early education,https://chromaela.com/service-areas-mcdonough-ga,2,0,2,3,6.2,170,0,0,0,37.46,0,2,0,12,0,1052,4,-3,2,0,FALSE,2025-11-16
sensorimotor development piaget,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,34,0,0,0,0,0,0,0,1,0,0,0,0,34,-34,1,0,FALSE,2025-11-18
daycares lawrenceville ga,https://chromaela.com/,3,0,4,29,7.6,1000,0,5,71,51.41,0,4,5,31,38,7630,39.75,42,-1,0,FALSE,2025-11-22
harrison park marietta ga,,0,0,0,0,0,140,0,1,39,0,0,0,1,0,0,0,0,39,-1,0,FALSE,2025-10-01
infants in the sensorimotor stage,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,2,21,0,90,0,1,37,4.58,0,2,1,0,0,0,22,16,1,0,FALSE,2025-11-21
substages of sensorimotor stage,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,44,0,390,0,0,0,0,0,1,0,0,0,0,44,-44,1,0,FALSE,2025-11-14
cultural immersion in childcare benefits,https://www.chromaela.com/post/bilingual-daycare-unlocking-a-world-of-benefits-for-your-child,1,0,1,11,0,0,0,0,0,0,0,1,0,0,0,0,11,-11,1,0,FALSE,2025-11-14
parks with infant swings near me,,0,0,0,0,0,1300,0,4,3,0,0,0,4,0,0,0,0,3,-4,0,FALSE,2025-09-27
daycare with cameras for parents,https://chromaela.com/,1,0,1,9,6,260,0,0,0,34.75,0,1,0,6,0,1563,9,-9,1,0,FALSE,2025-11-14
what is responsive teaching,https://chromaela.com/post/nurturing-diverse-learners-with-responsive-teaching-styles,1,0,5,75,0,170,0,0,0,10.65,0,5,0,0,0,0,79.88,-75,5,0,FALSE,2025-11-23
squeezing toghtly when metling down,https://chromaela.com/post/what-to-do-if-kids-get-physical-during-a-meltdown,1,0,2,1,0,0,0,0,0,4.58,0,2,0,0,0,0,1,-1,2,0,FALSE,2025-11-01
bright star kids academy marietta,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,-1,-1,FALSE,2025-09-28
when infant start walking,,0,0,0,0,1.1,6600,0,1,88,0,0,0,1,0,1,7590,0,88,-1,0,FALSE,2025-10-22
child care facilities near me,https://chromaela.com/service-areas-tyrone-ga,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,0,9,-9,1,0,FALSE,2025-11-09
early learning preschool near me,,0,0,0,0,6.6,50,0,1,26,0,0,0,1,0,7,331,0,26,-1,0,FALSE,2025-10-17
sensorimotor piaget stage,https://chromaela.com/post/piagets-sensorimotor-stage-how-babies-build-the-foundation-of-thinking,1,0,1,79,2,3600,0,0,0,41.97,0,1,0,2,0,7200,79,-79,1,0,FALSE,2025-11-15
creme de la creme alpharetta,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,1,88,1.5,90,0,2,67,23.21,0,1,2,2,3,136,88,-21,-1,0,FALSE,2025-11-23
daycare stone mountain ga,https://chromaela.com/service-areas-lilburn-ga,1,0,2,30,6.5,140,0,0,0,36.78,0,2,0,13,0,911,30,-30,2,0,FALSE,2025-11-19
best preschool activities,,0,0,0,0,1.1,110,0,1,12,0,0,0,1,0,1,121,0,12,-1,0,FALSE,2025-10-03
best learning center near me,,0,0,0,0,10.2,70,0,1,3,0,0,0,1,0,10,712,0,3,-1,0,FALSE,2025-10-17
places to take a 5 month old,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-west-cobb-for-your-babys-first-outings,1,0,1,1,1.2,40,0,0,0,18.21,0,1,0,1,0,47,1,-1,1,0,FALSE,2025-11-02
daycares near me open now,,0,0,0,0,4.9,720,0,1,53,0,0,0,1,0,5,3514,0,53,-1,0,FALSE,2025-10-08
an apple a day the doctor away,,0,0,0,0,0.2,33100,0,1,3,0,0,0,1,0,0,4965,0,3,-1,0,FALSE,2025-10-13
best daycares in marietta ga,,0,0,0,0,0,10,0,1,80,0,0,0,1,0,0,0,0,80,-1,0,FALSE,2025-10-16
places to go with a newborn,https://chromaela.com/post/top-5-infant-friendly-parks-in-marietta-west-cobb-for-your-babys-first-outings,1,0,1,12,1.1,2400,0,0,0,37.14,0,1,0,1,0,2592,12,-12,1,0,FALSE,2025-11-23
part time pre school near me,,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,5,-1,0,FALSE,2025-10-07
after school program for 3 year old,,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,4,-1,0,FALSE,2025-09-25
childcare in alpharetta ga,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,2,72,0,10,0,0,0,4.58,0,2,0,0,0,0,72,-72,2,0,FALSE,2025-11-19
daycare buildings for lease near me,,0,0,0,0,2,170,0,1,11,0,0,0,1,0,2,338,0,11,-1,0,FALSE,2025-10-04
georgia pre k schools near me,https://chromaela.com/service-areas-pleasanthill-ga,1,0,1,10,12.4,260,0,0,0,38.15,0,1,0,12,0,3211,10,-10,1,0,FALSE,2025-11-23
best 2 year old girl toys,https://chromaela.com/post/top-10-educational-toys-for-toddlers-that-promote-learning-and-fun,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-22
early childhood education degree,,0,0,0,0,25.8,5400,0,1,5,0,0,0,1,0,26,139185,0,5,-1,0,FALSE,2025-10-04
after school matters number,https://chromaela.com/service-areas-lilburn-ga,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,1,0,FALSE,2025-11-21
apple customer service telephone number,,0,0,0,0,3.1,40500,0,1,9,0,0,0,1,0,3,124740,0,9,-1,0,FALSE,2025-10-16
brooklet community church preschool,https://chromaela.com/contact-us,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,3,-3,1,0,FALSE,2025-11-21
child care in alpharetta woods,https://chromaela.com/service-areas-midway-alpharetta-ga,1,0,4,5,0,0,0,0,0,9.17,0,4,0,0,0,0,5.5,-5,4,0,FALSE,2025-11-20
private schools cherokee county ga,,0,0,0,0,3.5,110,0,1,20,0,0,0,1,0,4,390,0,20,-1,0,FALSE,2025-10-07
montessori schools near me,https://chromaela.com/service-areas-jonesboro-ga,1,0,2,25,3.9,110000,0,2,9,68.58,0,2,2,8,8,432300,16.5,-16,0,0,FALSE,2025-11-20
